"Datetime","probe","T","Err"
"2017-12-13 18:41:45","5","-7.8","0.4"
"2017-12-13 18:43:00","1","-7.7","0.46"
"2017-12-13 18:43:01","2","-7.8","0.6"
"2017-12-13 18:43:02","3","-7.8","0.4"
"2017-12-13 18:43:03","4","-7.6","0.49"
"2017-12-13 18:43:04","5","-7.6","0.49"
"2017-12-13 18:44:18","1","-7.5","0.5"
"2017-12-13 18:44:19","2","-7.6","0.49"
"2017-12-13 18:44:20","3","-7.8","0.75"
"2017-12-13 18:44:21","4","-7.6","0.49"
"2017-12-13 18:44:22","5","-7.6","0.66"
"2017-12-13 18:45:36","1","-7.8","0.6"
"2017-12-13 18:45:37","2","-7.8","0.6"
"2017-12-13 18:45:38","3","-7.8","0.75"
"2017-12-13 18:45:39","4","-7.6","0.49"
"2017-12-13 18:45:40","5","-7.9","0.54"
"2017-12-13 18:46:55","1","-7.8","0.6"
"2017-12-13 18:46:56","2","-7.8","0.4"
"2017-12-13 18:46:57","3","-7.6","0.49"
"2017-12-13 18:46:58","4","-7.3","0.46"
"2017-12-13 18:46:59","5","-7.6","0.49"
"2017-12-13 18:48:13","1","-7.9","0.3"
"2017-12-13 18:48:14","2","-7.6","0.66"
"2017-12-13 18:48:15","3","-7.8","0.4"
"2017-12-13 18:48:16","4","-7.7","0.46"
"2017-12-13 18:48:17","5","-8.2","0.6"
"2017-12-13 18:49:31","1","-7.5","0.5"
"2017-12-13 18:49:32","2","-7.5","0.5"
"2017-12-13 18:49:33","3","-7.6","0.49"
"2017-12-13 18:49:34","4","-7.8","0.6"
"2017-12-13 18:49:35","5","-7.7","0.46"
"2017-12-13 18:50:50","1","-7.9","0.54"
"2017-12-13 18:50:51","2","-7.5","0.67"
"2017-12-13 18:50:52","3","-7.4","0.49"
"2017-12-13 18:50:53","4","-8.1","1.04"
"2017-12-13 18:50:54","5","-8.1","0.54"
"2017-12-13 18:52:08","1","-7.9","0.3"
"2017-12-13 18:52:09","2","-7.4","0.66"
"2017-12-13 18:52:10","3","-7.9","0.7"
"2017-12-13 18:52:11","4","-7.8","0.4"
"2017-12-13 18:52:12","5","-7.5","0.5"
"2017-12-13 18:53:26","1","-7.8","0.4"
"2017-12-13 18:53:27","2","-7.7","0.46"
"2017-12-13 18:53:28","3","-7.5","0.5"
"2017-12-13 18:53:29","4","-8.0","0.45"
"2017-12-13 18:53:30","5","-7.5","0.67"
"2017-12-13 18:54:44","1","-7.8","0.6"
"2017-12-13 18:54:45","2","-7.9","0.3"
"2017-12-13 18:54:46","3","-7.6","0.49"
"2017-12-13 18:54:48","4","-8.0","0.45"
"2017-12-13 18:54:49","5","-7.7","0.46"
